,match_id,season,team1,team2,toss_winner,toss_decision,match_winner,winner_wickets,winner_runs,player_of_match,venue,outcome,method,eliminator,team1_win_percentage_against_team2,avg_1st_innings,avg_2nd_innings
0,1024,2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,5.0,0.0,DP Conway,"Narendra Modi Stadium, Ahmedabad",Normal,D/L,NA,60.0,177.0,161.0
1,1023,2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,0.0,47.5,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Normal,Not D/L,NA,50.0,177.0,161.0
2,1022,2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,0.0,47.5,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,75.0,163.0,150.0
3,1021,2023,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Chennai Super Kings,0.0,15.0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,60.0,163.0,150.0
4,1020,2023,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,field,Gujarat Titans,6.0,0.0,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Normal,Not D/L,NA,66.67,171.0,153.0
5,1019,2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,8.0,0.0,C Green,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,42.86,169.0,159.0
6,1018,2023,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,Lucknow Super Giants,0.0,1.0,N Pooran,"Eden Gardens, Kolkata",Normal,Not D/L,NA,0.0,164.0,150.0
7,1017,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,0.0,47.5,RD Gaikwad,"Arun Jaitley Stadium, Delhi",Normal,Not D/L,NA,63.64,175.0,161.0
8,1016,2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,4.0,0.0,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Normal,Not D/L,NA,38.46,180.0,155.0
9,1015,2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,8.0,0.0,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,50.0,159.0,148.0
10,1014,2023,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,0.0,15.0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Normal,Not D/L,NA,30.0,180.0,155.0
11,1013,2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,0.0,5.0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Normal,Not D/L,NA,75.0,148.0,140.0
12,1012,2023,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,0.0,34.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Normal,Not D/L,NA,33.33,177.0,161.0
13,1011,2023,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,6.0,0.0,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,35.71,163.0,150.0
14,1010,2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,47.5,WD Parnell,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,51.72,159.0,145.0
15,1009,2023,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,0.0,31.0,P Simran Singh,"Arun Jaitley Stadium, Delhi",Normal,Not D/L,NA,30.0,175.0,161.0
16,1008,2023,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,7.0,0.0,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,0.0,159.0,148.0
17,1007,2023,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Mumbai Indians,0.0,27.0,SA Yadav,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,50.0,169.0,159.0
18,1006,2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,9.0,0.0,YBK Jaiswal,"Eden Gardens, Kolkata",Normal,Not D/L,NA,51.85,164.0,150.0
19,1005,2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,0.0,27.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,63.64,163.0,150.0
20,1004,2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,6.0,0.0,SA Yadav,"Wankhede Stadium, Mumbai",Normal,Not D/L,NA,40.62,169.0,159.0
21,1003,2023,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,5.0,0.0,AD Russell,"Eden Gardens, Kolkata",Normal,Not D/L,NA,65.62,164.0,150.0
22,1002,2023,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,4.0,0.0,GD Phillips,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,50.0,159.0,145.0
23,1001,2023,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,0.0,47.5,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Normal,Not D/L,NA,100.0,177.0,161.0
24,1000,2023,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,7.0,0.0,PD Salt,"Arun Jaitley Stadium, Delhi",Normal,Not D/L,NA,44.44,175.0,161.0
25,999,2023,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,6.0,0.0,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",Normal,Not D/L,NA,44.44,163.0,150.0
26,998,2023,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,bat,Gujarat Titans,9.0,0.0,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Normal,Not D/L,NA,80.0,159.0,145.0
27,997,2023,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,5.0,CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Normal,Not D/L,NA,60.0,159.0,148.0
